2017-01-16	111.81
2017-01-13	112.55
2017-01-12	112.46
2017-01-11	112.01
2017-01-10	112.34
2017-01-09	111.74
2017-01-06	112.22
2017-01-05	112.02
2017-01-04	110.74
2017-01-03	109.16
2016-12-30	109.19
2016-12-29	108.87
2016-12-28	108.0
2016-12-23	105.82
2016-12-22	105.95
2016-12-21	106.71
2016-12-20	106.99
2016-12-19	107.79
2016-12-16	108.29
2016-12-15	108.64
2016-12-14	109.97
2016-12-13	110.41
2016-12-09	110.4
2016-12-08	110.61
2016-12-07	110.13
2016-12-06	109.89
2016-12-05	109.37
2016-12-02	109.14
2016-12-01	108.65
2016-11-30	107.37
2016-11-29	107.1
2016-11-28	107.1
2016-11-25	107.25
2016-11-24	106.89
2016-11-23	107.55
2016-11-22	107.58
2016-11-21	107.62
2016-11-18	108.01
2016-11-17	108.62
2016-11-16	108.45
2016-11-15	107.73
2016-11-14	107.4
2016-11-11	110.01
2016-11-10	113.18
2016-11-09	113.13
2016-11-08	114.55
2016-11-07	113.14
2016-11-04	112.73
2016-11-03	112.91
2016-11-02	113.65
2016-11-01	113.99
2016-10-31	113.79
2016-10-28	113.69
2016-10-27	114.19
2016-10-26	114.3
2016-10-25	115.12
2016-10-24	114.94
2016-10-20	115.09
2016-10-19	115.31
2016-10-18	114.72
2016-10-17	113.29
2016-10-14	113.5
2016-10-13	111.74
2016-10-12	111.81
2016-10-11	113.45
2016-10-07	115.64
2016-10-06	116.31
2016-10-05	116.23
2016-10-04	116.84
2016-10-03	116.55
2016-09-30	115.41
2016-09-29	116.9
2016-09-28	116.06
2016-09-27	116.34
2016-09-26	115.53
2016-09-23	116.04
2016-09-22	116.22
2016-09-21	114.86
2016-09-20	114.14
2016-09-19	114.37
2016-09-15	113.21
2016-09-14	112.14
2016-09-13	112.97
2016-09-09	114.34
2016-09-08	116.06
2016-09-07	116.72
2016-09-06	116.71
2016-09-05	115.79
2016-09-02	115.49
2016-09-01	115.79
2016-08-31	116.53
2016-08-30	116.21
2016-08-29	116.45
2016-08-26	117.78
2016-08-25	117.83
2016-08-24	117.22
2016-08-23	117.31
2016-08-22	117.26
2016-08-19	117.25
2016-08-18	118.09
2016-08-17	117.07
2016-08-16	117.72
2016-08-15	117.39
2016-08-12	117.04
2016-08-11	117.51
2016-08-10	117.5
2016-08-09	117.22
2016-08-08	117.07
2016-08-05	115.88
2016-08-04	115.41
2016-08-03	114.87
2016-08-01	116.69
2016-07-29	114.93
2016-07-28	115.95
2016-07-27	115.84
2016-07-26	114.99
2016-07-25	115.02
2016-07-22	115.11
2016-07-21	114.86
2016-07-20	115.52
2016-07-19	114.93
2016-07-18	114.89
2016-07-15	115.12
2016-07-14	114.36
2016-07-13	114.32
2016-07-12	113.45
2016-07-11	112.76
2016-07-08	111.21
2016-07-07	111.48
2016-07-05	111.5
2016-07-04	111.97
2016-06-30	111.33
2016-06-29	110.38
2016-06-28	108.47
2016-06-27	107.13
2016-06-24	107.1
2016-06-23	109.62
2016-06-22	109.33
2016-06-21	109.36
2016-06-20	108.75
